graph_conv_layers,dense_layer_size,dropout,learning_rate,train_r2_score,valid_r2_score
"[64, 64]",128,0.2,0.001,0.7604854445757908,0.7379802642243358
"[64, 128, 64]",128,0.2,0.001,0.7408637319482105,0.7030865539515146
"[128, 128]",256,0.2,0.0005,0.7377993683869855,0.694944308527534
"[128, 128]",128,0.2,0.0005,0.7368736921829793,0.7125042375014419
"[64, 64]",128,0.3,0.001,0.718310858869857,0.6973031573881305
"[128, 128]",128,0.3,0.001,0.7180603333164434,0.6954083684118542
"[64, 128, 64]",256,0.2,0.0005,0.6883174035814104,0.6508517701947267
"[128, 128]",128,0.2,0.0001,0.686737119855539,0.6808247807948851
"[64, 64]",256,0.3,0.001,0.6852454039866313,0.6476054414470274
"[64, 64]",256,0.3,0.0005,0.6695122282510153,0.6301885100680918
"[128, 128]",256,0.2,0.0001,0.6666454023727978,0.5681741286614114
"[64, 64]",128,0.3,0.0005,0.6577731371801124,0.6319444312838266
"[64, 64]",128,0.2,0.0001,0.6535268381277072,0.6235528449910669
"[64, 64]",256,0.2,0.0001,0.6215411596369111,0.5946189684340054
"[128, 128]",256,0.2,0.001,0.6128335397905894,0.7312397573804722
"[64, 128, 64]",256,0.2,0.0001,0.5904846552904025,0.5655996333476238
"[64, 128, 64]",128,0.2,0.0001,0.5847879109632644,0.5637844289678211
"[64, 64]",256,0.2,0.001,0.5821378058482048,0.7272115026956505
"[128, 128]",128,0.3,0.0005,0.5384924667888793,0.5694542622924651
"[64, 128, 64]",128,0.3,0.0001,0.535646290820781,0.5270099994947601
"[64, 64]",256,0.3,0.0001,0.5351494446576611,0.4958203136438574
"[64, 128, 64]",256,0.2,0.001,0.5163330069857894,0.7180124825781175
"[64, 128, 64]",128,0.3,0.0005,0.49450800789350347,0.4226086686267729
"[64, 128, 64]",128,0.2,0.0005,0.4517241986846356,0.6355548410782511
"[128, 128]",128,0.3,0.0001,0.4394331481012672,0.4231855596350183
"[128, 128]",128,0.2,0.001,0.4184852216146342,0.7434441107768888
"[128, 128]",256,0.3,0.0001,0.3766365249308238,0.4454037269090095
"[128, 128]",256,0.3,0.0005,0.25118033717929533,0.25308608010552314
"[64, 64]",128,0.2,0.0005,0.21758876686259404,0.14165646679060265
"[128, 128]",256,0.3,0.001,0.21440660239135903,0.7207619480168257
"[64, 64]",256,0.2,0.0005,0.17648006058649263,0.10643140557362087
"[64, 64]",128,0.3,0.0001,0.14355758533227134,0.0030587734887579866
"[64, 128, 64]",128,0.3,0.001,0.03157254189273846,0.1933187225792339
"[64, 128, 64]",256,0.3,0.001,0.009273548685424623,0.04111974019248269
"[64, 128, 64]",256,0.3,0.0005,0.008022797816538328,0.023504426595087467
"[64, 128, 64]",256,0.3,0.0001,5.3569647132516067e-05,0.002521425445189476
